"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"28th & Passyunk","stationary",4,"cyclohexane_methyl","6.3 [4.7, 15.7]","Methylcyclohexane","cyclohexane_methyl",98.189,"Cyclohexanes","Other Alkanes",5,9
"28th & Passyunk","stationary",4,"x1_hexene","0.4 [0.3, 0.7]","1-Hexene","x1_hexene",84.162,"Alkenes","Alkenes",6,1
"28th & Passyunk","stationary",4,"x2_pentene_z_cis","0.1 [0.0, 0.1]","cis-2-Pentene","x2_pentene_z_cis",70.1329,"Alkenes","Alkenes",6,2
"28th & Passyunk","stationary",4,"x1_3_butadiene_2_methyl","0.0 [0.0, 0.1]","Isoprene","x1_3_butadiene_2_methyl",68.12,"Alkenes","Alkenes",6,3
"28th & Passyunk","stationary",4,"x2_hexanone","0.0 [0.0, 0.0]","2-Hexanone","x2_hexanone",100.161,"Ketones","Ketones",7,1
"28th & Passyunk","stationary",4,"methyl_isobutyl_ketone","0.0 [0.0, 0.0]","Methyl isobutyl ketone","methyl_isobutyl_ketone",100.16,"Ketones","Ketones",7,2
"28th & Passyunk","stationary",4,"trichloromethane","0.2 [0.1, 0.2]","Chloroform","trichloromethane",119.37,"Chlorinated Compounds","Chlorinated Compounds",8,1
"28th & Passyunk","stationary",4,"carbon_tetrachloride","1.7 [1.2, 2.1]","Carbon tetrachloride","carbon_tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",8,2
"28th & Passyunk","stationary",4,"tetrachloroethylene","0.1 [0.1, 0.2]","Tetrachloroethylene","tce",165.83,"Chlorinated Compounds","Chlorinated Compounds",8,3
"28th & Passyunk","stationary",4,"trichloromonofluoromethane","0.6 [0.3, 0.9]","Trichlorofluoromethane","trichlorofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",8,4
"28th & Passyunk","stationary",4,"benzene_1_2_dichloro","0.1 [0.0, 0.1]","1,2-dichlorobenzene","benz12chloro",147.01,"Benzene Derivatives","Chlorinated Compounds",8,5
"28th & Point Breeze","stationary",5,"benzene","1.1 [0.7, 1.7]","Benzene","benzene",78.11,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"toluene","1.8 [1.4, 2.9]","Toluene","toluene",92.14,"BTEX","BTEX",1,2
"28th & Point Breeze","stationary",5,"ethylbenzene","0.5 [0.4, 0.7]","Ethylbenzene","etbenz",106.17,"BTEX","BTEX",1,3
"28th & Point Breeze","stationary",5,"m_p_xylene_2","3.2 [2.6, 4.8]","(m+p)-Xylenes","mpxylene",106.16,"BTEX","BTEX",1,4
"28th & Point Breeze","stationary",5,"o_xylene","0.7 [0.6, 1.0]","o-Xylene","oxylene",106.16,"BTEX","BTEX",1,5
"28th & Point Breeze","stationary",5,"xylenes","3.9 [3.2, 5.8]","Total Xylenes","xylenes",106.16,"BTEX","BTEX",1,6
